Time_Point,Media Type,Flow Rate,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
0,Std,150,1,0.153,0.131,0.136,"96,451"
1,Std,50,0,0.32,0.494,0.701,"679,722"
1,Std,50,1,0.3,0.433,0.771,"158,722"
1,Std,150,0,0.271,0.427,0.683,"312,134"
1,Std,150,1,0.262,0.418,0.539,"53,888"
2,Std,50,0,0.419,0.681,1.062,"593,414"
2,Std,50,1,0.376,0.418,0.697,"63,386"
2,Std,150,0,0.38,0.328,0.762,"417,259"
2,Std,150,1,0.404,0.33,0.731,"150,450"
3,Std,50,0,0.521,0.458,0.775,"690,532"
3,Std,50,1,0.499,0.386,0.593,"467,634"
3,Std,150,0,0.314,0.334,0.53,"421,360"
3,Std,150,1,0.328,0.338,0.588,"373,242"
3.5,Std,50,0,0.668,0.61,1.026,"875,340"
3.5,Std,50,1,0.699,0.632,1.046,"483,949"
3.5,Std,150,0,0.259,0.197,0.347,"378,195"
3.5,Std,150,1,0.24,0.436,0.469,"545,131"
4,Std,50,0,0.676,0.565,0.922,"1,039,695"
4,Std,50,1,0.666,0.511,0.915,"332,467"
4,Std,150,0,0.528,0.306,0.431,"439,690"
4,Std,150,1,0.541,0.396,0.462,"286,233"
5,Std,50,0,0.315,0.287,0.68,"246,357"
5,Std,50,1,0.301,0.289,0.501,"208,897"
5,Std,150,0,0.326,0.235,0.379,"458,022"
5,Std,150,1,0.572,0.366,0.382,"202,594"
6,Std,50,0,0.314,0.292,0.688,"182,815"
6,Std,50,1,0.266,0.279,0.426,"312,701"
6,Std,150,0,0.296,0.278,0.555,"267,825"
6,Std,150,1,0.519,0.415,0.552,"108,046"
7,10%CS,100,0,0.9595,0.8811,1.2894,
7,10%CS,100,1,0.07854,0.72168,0.64272,
7,10%CS,0,0,0.10944,0.09282,0.085,
7,10%CS,0,1,0.48545,0.08118,0.07392,
0,10%CS,100,0,0.40866,0.36608,0.32342,
0,10%CS,100,1,0.204,0.38745,0.33264,
0,10%CS,0,0,0.28482,0.25584,0.20972,
0,10%CS,0,1,0.2432,0.24,0.20808,
1,10%CS,100,0,0.234,0.36192,0.28512,
1,10%CS,100,1,0.26334,0.397,0.32651,
1,10%CS,0,0,0.25578,0.28254,0.26093,
1,10%CS,0,1,0.18139,0.2727,0.2527,
2,10%CS,100,0,0.51603,0.39867,0.3507,
2,10%CS,100,1,0.28215,0.42848,0.33024,
2,10%CS,0,0,0.37521,0.364,0.3069,
2,10%CS,0,1,0.313,0.35244,0.28785,
3,10%CS,100,0,0.98098,0.17444,0.69504,
3,10%CS,100,1,0.42942,0.76224,0.69056,
3,10%CS,0,0,0.45105,0.4176,0.5206,
3,10%CS,0,1,0.487,0.4312,0.34047,
3.5,10%CS,100,0,1.2625,0.77175,0.88128,
3.5,10%CS,100,1,0.56145,1.02336,0.80752,
3.5,10%CS,0,0,0.58235,0.624,0.65366,
3.5,10%CS,0,1,0.81674,0.60662,0.5282,
4,10%CS,100,0,1.425,1.2274,1.113,
4,10%CS,100,1,0.73817,1.175,0.9348,
4,10%CS,0,0,0.7752,0.80487,0.81744,
4,10%CS,0,1,1.20897,0.75715,0.73056,
5,10%CS,100,0,0.92768,0.71894,0.754,
5,10%CS,100,1,0.478,0.81906,0.71577,
5,10%CS,0,0,0.47268,0.55386,0.46835,
5,10%CS,0,1,0.81267,0.52626,0.46366,
6,10%CS,100,0,0.73055,0.77319,1.07744,
6,10%CS,100,1,0.20085,0.8262,0.58752,
6,10%CS,0,0,0.18128,0.27744,0.18905,
6,10%CS,0,1,0.58235,0.27048,0.18525,
7,Std,0,0,0.10812,0.09984,0.09486,
7,Std,0,1,0,0.1008,0.10088,
0,Std,0,0,0.23618,0.22542,0.18528,
0,Std,0,1,0.0861,0.22176,0.197,
1,Std,0,0,0.26928,0.2346,0.19894,
1,Std,0,1,0.05795,0.2525,0.22321,
2,Std,0,0,0.2546,0.24948,0.20064,
2,Std,0,1,0.23835,0.26471,0.215,
3,Std,0,0,0.3519,0.30674,0.36234,
3,Std,0,1,0.18564,0.31458,0.25175,
3.5,Std,0,0,0.41568,0.46935,0.44055,
3.5,Std,0,1,0.13287,0.4767,0.40188,
4,Std,0,0,0.4959,0.55195,0.53972,
4,Std,0,1,0.076,0.588,0.53346,
5,Std,0,0,0.35595,0.388,0.3287,
5,Std,0,1,0,0.404,0.34643,
6,Std,0,0,0.15444,0.2288,0.16632,
6,Std,0,1,0,0.22,0.17056,
7,Std,100,0,0.72512,0.53655,0.49686,
7,Std,100,1,0.0988,0.35739,0.30458,
0,Std,100,0,0.27063,0.2688,0.24888,
0,Std,100,1,0.20488,0.25248,0.24735,
1,Std,100,0,0.1425,0.17952,0.15744,
1,Std,100,1,0.22321,0.1976,0.16072,
2,Std,100,0,0.40097,0.30987,0.28531,
2,Std,100,1,0.21715,0.318,0.29561,
3,Std,100,0,0.8304,0.12177,0.691,
3,Std,100,1,0.30704,0.66559,0.58176,
3.5,Std,100,0,1.078,0.6402,0.87106,
3.5,Std,100,1,0.41814,0.83729,0.74263,
4,Std,100,0,1.34734,1.23291,1.0829,
4,Std,100,1,0.53869,0.97,0.866,
5,Std,100,0,1.00798,0.789,0.70928,
5,Std,100,1,0.32928,0.65416,0.50573,
6,Std,100,0,0.59849,0.58848,0.54292,
6,Std,100,1,0.16236,0.51216,0.45505,
7,10%CS,50,0,0.2071,0.2129,0.554,"110,816"
7,10%CS,50,1,0.1772,0.1803,0.4393,"135,254"
7,10%CS,100,0,1.669,1.502,0.194,"136,472"
7,10%CS,100,1,1.114,0.883,0.992,"160,043"
7,10%CS,150,0,0.144,0.394,0.6048,"162,127"
7,10%CS,150,1,0.125,0.3078,0.5191,"184,831"
7,10%CS,0,0,0.1255,0.1045,0.119,
7,10%CS,0,1,0.097,0.0805,0.083,
0,10%CS,50,0,0.4746,0.3358,0.4367,"507,351"
0,10%CS,50,1,0.3098,0.2812,0.3426,"535,780"
0,10%CS,100,0,0.456,0.365,0.221,"333,550"
0,10%CS,100,1,0.121,0.104,0.104,"305,539"
0,10%CS,150,0,0.0789,0.0936,0.0925,"159,749"
0,10%CS,150,1,0.0795,0.1591,0.1592,"75,298"
0,10%CS,0,0,0.314,0.244,0.221,
0,10%CS,0,1,0.11,0.094,0.097,
1,10%CS,50,0,0.3403,0.1809,0.2077,"580,410"
1,10%CS,50,1,0.2992,0.2106,0.7066,"466,440"
1,10%CS,100,0,0.26,0.277,0.335,"420,399"
1,10%CS,100,1,0.474,0.385,0.379,"348,222"
1,10%CS,150,0,0.32,0.152,0.2707,"260,389"
1,10%CS,150,1,0.3118,0.1509,0.7922,"230,003"
1,10%CS,0,0,0.293,0.24,0.335,
1,10%CS,0,1,0.324,0.25,0.23,
2,10%CS,50,0,0.4486,0.1104,0.138,"826,987"
2,10%CS,50,1,0.4306,0.3681,0.5682,"685,039"
2,10%CS,100,0,0.531,0.411,0.391,"539,236"
2,10%CS,100,1,0.224,0.254,0.721,"520,805"
2,10%CS,150,0,0.5106,0.3223,0.7233,"251,485"
2,10%CS,150,1,0.512,0.423,0.8014,"356,572"
2,10%CS,0,0,0.444,0.374,0.225,
2,10%CS,0,1,0.285,0.236,0.426,
3,10%CS,50,0,0.6691,0.09,0.091,"647,456"
3,10%CS,50,1,0.6379,0.4831,0.7251,"565,790"
3,10%CS,100,0,0.201,0.193,0.26,"461,896"
3,10%CS,100,1,0.589,0.456,0.439,"583,045"
3,10%CS,150,0,0.4843,0.3552,0.5582,"276,336"
3,10%CS,150,1,0.4768,0.3683,0.6964,"600,299"
3,10%CS,0,0,0.514,0.421,0.724,
3,10%CS,0,1,0.421,0.337,0.516,
3.5,10%CS,50,0,0.5998,0.399,0.685,"581,822"
3.5,10%CS,50,1,0.5038,0.3752,0.7016,"456,284"
3.5,10%CS,100,0,1.668,1.274,1.013,"391,868"
3.5,10%CS,100,1,0.206,0.184,0.246,"427,113"
3.5,10%CS,150,0,0.2658,0.196,0.3162,"201,913"
3.5,10%CS,150,1,0.2437,0.1802,0.3224,"397,942"
3.5,10%CS,0,0,0.908,0.968,0.566,
3.5,10%CS,0,1,0.504,0.417,0.571,
4,10%CS,50,0,0.5088,0.4222,0.8945,"376,876"
4,10%CS,50,1,0.4753,0.41,0.9042,"1,267,413"
4,10%CS,100,0,1.102,1.274,1.013,"380,038"
4,10%CS,100,1,1.571,1.205,1.238,"731,218"
4,10%CS,150,0,0.6127,0.4815,0.6562,"383,200"
4,10%CS,150,1,0.5771,0.4491,0.6358,"357,516"
4,10%CS,0,0,0.5495,0.968,0.566,
4,10%CS,0,1,0.82,0.754,1.011,
5,10%CS,50,0,0.325,0.2181,0.3405,"224,912"
5,10%CS,50,1,0.318,0.1933,0.6416,"215,892"
5,10%CS,100,0,1.102,1.207,1.207,"260,959"
5,10%CS,100,1,0.849,0.82,1.037,"248,223"
5,10%CS,150,0,0.494,0.4096,0.4931,"297,006"
5,10%CS,150,1,0.4012,0.3384,0.4181,"280,554"
5,10%CS,0,0,0.5495,0.587,0.157,
5,10%CS,0,1,0.504,0.478,0.7408,
6,10%CS,50,0,0.2519,0.248,0.5802,"192,111"
6,10%CS,50,1,0.1951,0.1964,0.6805,"158,014"
6,10%CS,100,0,1.321,1.161,0.706,"292,161"
